number,champion,kills,deaths,assists,damage,damage migated,gold earned
350,Yuumi,Support,1.8,4.1,16.0,8846.3,5861.3,7830.1
154,Zac,Jungle,5.2,4.8,11.7,16445.7,37425.4,11037.4
36,Dr. Mundo,Top,4.3,5.1,6.5,21891.3,44990.2,11617.2
34,Anivia,Mid,5.8,4.9,7.5,19839.1,14129.8,11844.6
40,Janna,Support,1.1,4.7,15.4,5476.2,9248.1,7808.6
102,Shyvana,Jungle,6.5,5.1,8.0,21587.2,35683.5,12470.5
75,Nasus,Top,4.8,5.1,5.2,18434.1,41382.5,11677.5
62,Wukong,Jungle,7.2,5.2,8.2,17993.6,32540.8,11823.5
86,Garen,Top,6.3,5.1,4.3,18898.2,39446.5,12671.4
98,Shen,Top,4.0,4.8,10.5,14306.1,38012.4,10135.1
83,Yorick,Top,3.8,5.1,3.9,19877.2,26301.3,12259.2
518,Neeko,Mid,6.1,5.5,7.4,20703.6,14766.1,11488.7
7,LeBlanc,Mid,6.7,4.8,6.8,19596.4,11295.9,11074.0
54,Malphite,Top,4.0,5.0,8.3,17287.4,42637.3,10273.9
113,Sejuani,Jungle,4.9,5.1,11.8,15267.8,44567.1,11044.4
26,Zilean,Support,2.2,4.8,14.4,9921.2,8357.6,8407.6
161,Vel'Koz,Mid,6.1,5.0,7.8,25911.6,10182.7,11887.1
516,Ornn,Top,3.6,5.0,8.6,17040.2,42361.5,10576.0
223,Tahm Kench,Top,4.4,5.0,8.0,17161.3,47784.2,10405.2
61,Orianna,Mid,4.9,5.1,9.1,19974.4,12186.8,11405.3
202,Jhin,ADC,7.6,5.2,8.5,20153.9,9423.0,12675.1
31,Cho'Gath,Top,5.2,5.6,6.0,18231.6,42598.5,11443.5
16,Soraka,Support,0.9,5.4,14.8,5777.2,8199.9,7601.6
117,Lulu,Support,1.6,5.1,14.9,5577.9,9101.4,7882.3
82,Mordekaiser,Top,6.4,5.7,4.8,22489.8,36134.8,11934.9
90,Malzahar,Mid,4.6,5.4,7.8,21051.9,12740.9,11920.6
103,Ahri,Mid,5.8,5.0,7.9,19638.0,10448.9,11212.6
79,Gragas,Top,4.0,5.2,7.3,17937.8,26639.2,10448.6
106,Volibear,Jungle,5.8,5.2,9.8,15823.3,45375.8,11217.7
37,Sona,Support,2.1,5.4,14.7,9358.6,11418.6,8169.5
267,Nami,Support,2.2,5.5,16.0,9176.8,7368.3,8364.8
112,Viktor,Mid,5.8,5.3,6.9,25434.8,15778.2,12099.0
81,Ezreal,ADC,6.6,5.4,7.3,23912.9,10861.6,12112.1
85,Kennen,Top,4.8,5.5,6.1,20591.0,13819.8,11087.0
150,Gnar,Top,4.8,5.5,6.2,20674.5,26305.8,11569.0
48,Trundle,Jungle,6.4,5.5,8.9,17284.5,32295.1,11887.6
77,Udyr,Jungle,5.8,5.1,8.0,14532.6,43333.1,11860.3
115,Ziggs,ADC,5.3,5.4,8.6,26033.2,8227.7,12068.9
876,Lillia,Jungle,7.5,5.5,8.9,23773.7,22834.6,12701.3
101,Xerath,Support,4.6,5.8,11.2,22530.5,6633.1,10012.4
134,Syndra,Mid,6.0,5.6,6.8,22193.6,9914.8,11561.3
45,Veigar,Mid,7.0,5.5,6.7,21503.7,11961.5,12163.3
142,Zoe,Mid,6.2,5.3,7.4,21989.6,9434.9,11171.2
43,Karma,Support,2.2,5.7,13.6,11546.3,11545.2,8287.7
432,Bard,Support,2.6,5.4,14.6,11296.9,15880.9,8429.4
114,Fiora,Top,6.2,6.0,4.3,21049.3,30715.7,12033.1
10,Kayle,Top,5.2,5.8,5.5,19670.7,13609.7,12562.4
887,Gwen,Top,5.7,5.9,4.5,21332.4,25444.7,11871.5
104,Graves,Jungle,7.1,5.6,7.2,20187.3,19703.5,12775.8
240,Kled,Top,5.8,5.7,7.1,18976.6,36433.1,11585.5
245,Ekko,Jungle,8.3,5.5,7.5,20659.0,23493.7,12717.5
35,Shaco,Jungle,8.4,5.8,8.3,18989.5,16184.3,12240.9
78,Poppy,Jungle,6.1,5.6,9.4,16417.3,36880.6,10945.3
888,Renata Glasc,Support,1.9,5.7,14.8,9009.0,13901.5,8191.0
201,Braum,Support,1.5,5.7,14.9,7839.7,23928.6,7751.1
497,Rakan,Support,1.6,5.6,14.5,6802.7,19471.4,7720.3
84,Akali,Mid,8.3,5.6,5.5,22445.4,16861.1,11498.2
15,Sivir,ADC,5.8,5.7,8.6,21400.6,9541.5,12738.8
58,Renekton,Top,5.3,5.9,5.4,18447.3,31582.0,11928.8
13,Ryze,Mid,4.6,5.6,7.0,18585.1,15638.5,11440.0
120,Hecarim,Jungle,7.3,5.6,9.0,18049.0,35661.2,12051.7
33,Rammus,Jungle,4.8,5.6,11.9,14978.6,56031.8,10767.8
59,Jarvan IV,Jungle,5.7,6.0,13.2,14862.3,36223.1,11351.3
